-750,08  0,001010403
-749,3475  0,0009835127
-748,615  0,0009511116
-747,8825  0,0009139796
-747,15  0,0008728417
-746,4175  0,0008283847
-745,685  0,0007812856
-744,9525  0,0007322349
-744,22  0,0006819467
-743,4875  0,0006311547
-742,755  0,0005806009
-742,0225  0,0005310207
-741,29  0,0004831276
-740,5575  0,0004375951
-739,825  0,0003950314
-739,0925  0,0003559489
-738,36  0,0003207316
-737,6275  0,0002896105
-736,895  0,0002626545
-736,1625  0,0002397793
-735,43  0,0002207702
-734,6975  0,0002053123
-733,965  0,0001930186
-733,2325  0,0001834541
-732,5  0,0001761545
-731,7675  0,0001706444
-731,035  0,0001664551
-730,3025  0,000163144
-729,57  0,0001603126
-728,8375  0,0001576205
-728,105  0,0001547946
-727,3725  0,0001516328
-726,64  0,000148005
-725,9075  0,0001438515
-725,175  0,0001391809
-724,4425  0,0001340646
-723,71  0,0001286284
-722,9775  0,0001230399
-722,245  0,0001174931
-721,5125  0,0001121922
-720,78  0,0001073371
-720,0475  0,0001031123
-719,315  9,967815E-5
-718,5825  9,716426E-5
-717,85  9,566394E-5
-717,1175  9,523037E-5
-716,385  9,587568E-5
-715,6525  9,757439E-5
-714,92  0,0001002713
-714,1875  0,0001038926
-713,455  0,0001083564
-712,7225  0,0001135821
-711,99  0,000119495
-711,2575  0,0001260284
-710,525  0,0001331244
-709,7925  0,000140734
-709,06  0,0001488176
-708,3275  0,0001573433
-707,595  0,0001662846
-706,8625  0,0001756149
-706,13  0,0001853024
-705,3975  0,0001953059
-704,665  0,0002055733
-703,9325  0,0002160415
-703,2  0,0002266378
-702,4675  0,0002372805
-701,735  0,0002478809
-701,0025  0,000258345
-700,27  0,000268578
-699,5375  0,0002784902
-698,805  0,0002880027
-698,0725  0,0002970505
-697,34  0,0003055827
-696,6075  0,0003135606
-695,875  0,0003209548
-695,1425  0,0003277454
-694,41  0,0003339242
-693,6775  0,0003394984
-692,945  0,0003444918
-692,2125  0,0003489435
-691,48  0,0003529018
-690,7475  0,0003564169
-690,015  0,0003595353
-689,2825  0,000362297
-688,55  0,000364735
-687,8175  0,0003668761
-687,085  0,0003687392
-686,3525  0,0003703318
-685,62  0,0003716449
-684,8875  0,0003726502
-684,155  0,0003733002
-683,4225  0,0003735336
-682,69  0,0003732815
-681,9575  0,0003724758
-681,225  0,0003710548
-680,4925  0,000368967
-679,76  0,0003661746
-679,0275  0,000362656
-678,295  0,0003584078
-677,5625  0,0003534472
-676,83  0,0003478109
-676,0975  0,0003415525
-675,365  0,0003347373
-674,6325  0,0003274365
-673,9  0,0003197224
-673,1675  0,0003116658
-672,435  0,0003033341
-671,7025  0,0002947914
-670,97  0,000286098
-670,2375  0,000277309
-669,505  0,0002684739
-668,7725  0,0002596362
-668,04  0,0002508335
-667,3075  0,0002420993
-666,575  0,0002334637
-665,8425  0,0002249537
-665,11  0,0002165929
-664,3775  0,0002084002
-663,645  0,0002003897
-662,9125  0,0001925708
-662,18  0,0001849497
-661,4475  0,0001775301
-660,715  0,0001703143
-659,9825  0,0001633037
-659,25  0,0001564985
-658,5175  0,0001498983
-657,785  0,0001435017
-657,0525  0,0001373077
-656,32  0,000131316
-655,5875  0,0001255268
-654,855  0,0001199411
-654,1225  0,00011456
-653,39  0,0001093846
-652,6575  0,0001044169
-651,925  9,965954E-5
-651,1925  9,511598E-5
-650,46  9,079018E-5
-649,7275  8,668578E-5
-648,995  8,280559E-5
-648,2625  7,915172E-5
-647,53  7,572596E-5
-646,7975  7,253027E-5
-646,065  6,956656E-5
-645,3325  6,683581E-5
-644,6  6,43369E-5
-643,8675  6,206571E-5
-643,135  6,001508E-5
-642,4025  5,817542E-5
-641,67  5,653545E-5
-640,9375  5,508251E-5
-640,205  5,380245E-5
-639,4725  5,267929E-5
-638,74  5,169538E-5
-638,0075  5,083228E-5
-637,275  5,007205E-5
-636,5425  4,93984E-5
-635,81  4,879713E-5
-635,0775  4,825575E-5
-634,345  4,776276E-5
-633,6125  4,730716E-5
-632,88  4,687873E-5
-632,1475  4,646884E-5
-631,415  4,607135E-5
-630,6825  4,568308E-5
-629,95  4,530339E-5
-629,2175  4,493328E-5
-628,485  4,457447E-5
-627,7525  4,422888E-5
-627,02  4,389877E-5
-626,2875  4,358706E-5
-625,555  4,329762E-5
-624,8225  4,303489E-5
-624,09  4,280305E-5
-623,3575  4,260499E-5
-622,625  4,244161E-5
-621,8925  4,23117E-5
-621,16  4,22124E-5
-620,4275  4,21399E-5
-619,695  4,209006E-5
-618,9625  4,205857E-5
-618,23  4,204095E-5
-617,4975  4,203239E-5
-616,765  4,20278E-5
-616,0325  4,202223E-5
-615,3  4,20117E-5
-614,5675  4,199388E-5
-613,835  4,196859E-5
-613,1025  4,193763E-5
-612,37  4,190405E-5
-611,6375  4,187125E-5
-610,905  4,184212E-5
-610,1725  4,181886E-5
-609,44  4,180314E-5
-608,7075  4,179673E-5
-607,975  4,180178E-5
-607,2425  4,182081E-5
-606,51  4,185613E-5
-605,7775  4,190917E-5
-605,045  4,198002E-5
-604,3125  4,206747E-5
-603,58  4,216938E-5
-602,8475  4,22833E-5
-602,115  4,240676E-5
-601,3825  4,253743E-5
-600,65  4,267298E-5
-599,9175  4,281099E-5
-599,185  4,294903E-5
-598,4525  4,308489E-5
-597,72  4,321681E-5
-596,9875  4,334375E-5
-596,255  4,346535E-5
-595,5225  4,358198E-5
-594,79  4,369466E-5
-594,0575  4,380511E-5
-593,325  4,391566E-5
-592,5925  4,402914E-5
-591,86  4,414863E-5
-591,1275  4,42772E-5
-590,395  4,441767E-5
-589,6625  4,457258E-5
-588,93  4,474428E-5
-588,1975  4,493499E-5
-587,465  4,514672E-5
-586,7325  4,538099E-5
-586  4,563844E-5
-585,2675  4,59185E-5
-584,535  4,621926E-5
-583,8025  4,653763E-5
-583,07  4,686973E-5
-582,3375  4,721124E-5
-581,605  4,755771E-5
-580,8725  4,79046E-5
-580,14  4,824724E-5
-579,4075  4,858079E-5
-578,675  4,890042E-5
-577,9425  4,920163E-5
-577,21  4,948066E-5
-576,4775  4,973493E-5
-575,745  4,996317E-5
-575,0125  5,016555E-5
-574,28  5,034357E-5
-573,5475  5,049993E-5
-572,815  5,063851E-5
-572,0825  5,07643E-5
-571,35  5,088347E-5
-570,6175  5,100325E-5
-569,885  5,113186E-5
-569,1525  5,127816E-5
-568,42  5,145137E-5
-567,6875  5,166072E-5
-566,955  5,191523E-5
-566,2225  5,22236E-5
-565,49  5,259418E-5
-564,7575  5,303497E-5
-564,025  5,355368E-5
-563,2925  5,41576E-5
-562,56  5,485352E-5
-561,8275  5,564765E-5
-561,095  5,654564E-5
-560,3625  5,755276E-5
-559,63  5,867409E-5
-558,8975  5,991493E-5
-558,165  6,128102E-5
-557,4325  6,277889E-5
-556,7  6,441605E-5
-555,9675  6,620111E-5
-555,235  6,8144E-5
-554,5025  7,025613E-5
-553,77  7,255063E-5
-553,0375  7,504252E-5
-552,305  7,7749E-5
-551,5725  8,06896E-5
-550,84  8,388641E-5
-550,1075  8,736433E-5
-549,375  9,115128E-5
-548,6425  9,527828E-5
-547,91  9,977938E-5
-547,1775  0,0001046914
-546,445  0,0001100536
-545,7125  0,0001159071
-544,98  0,0001222946
-544,2475  0,0001292598
-543,515  0,0001368466
-542,7825  0,000145098
-542,05  0,0001540546
-541,3175  0,0001637522
-540,585  0,0001742203
-539,8525  0,0001854799
-539,12  0,0001975424
-538,3875  0,0002104086
-537,655  0,0002240679
-536,9225  0,0002384972
-536,19  0,0002536605
-535,4575  0,0002695075
-534,725  0,0002859736
-533,9925  0,0003029796
-533,26  0,0003204334
-532,5275  0,0003382316
-531,795  0,0003562614
-531,0625  0,0003744021
-530,33  0,0003925268
-529,5975  0,0004105029
-528,865  0,0004281941
-528,1325  0,0004454626
-527,4  0,0004621727
-526,6675  0,0004781945
-525,935  0,0004934084
-525,2025  0,0005077082
-524,47  0,000521003
-523,7375  0,0005332192
-523,005  0,0005443005
-522,2725  0,0005542095
-521,54  0,0005629281
-520,8075  0,0005704586
-520,075  0,0005768236
-519,3425  0,0005820651
-518,61  0,0005862421
-517,8775  0,0005894275
-517,145  0,0005917056
-516,4125  0,00059317
-515,68  0,0005939223
-514,9475  0,000594072
-514,215  0,0005937346
-513,4825  0,0005930297
-512,75  0,0005920768
-512,0175  0,0005909911
-511,285  0,0005898786
-510,5525  0,0005888332
-509,82  0,0005879347
-509,0875  0,0005872476
-508,355  0,0005868211
-507,6225  0,0005866889
-506,89  0,0005868686
-506,1575  0,0005873623
-505,425  0,0005881567
-504,6925  0,0005892253
-503,96  0,0005905301
-503,2275  0,0005920246
-502,495  0,0005936558
-501,7625  0,0005953663
-501,03  0,0005970961
-500,2975  0,0005987852
-499,565  0,0006003764
-498,8325  0,0006018174
-498,1  0,0006030637
-497,3675  0,0006040787
-496,635  0,0006048338
-495,9025  0,0006053071
-495,17  0,0006054827
-494,4375  0,0006053503
-493,705  0,0006049051
-492,9725  0,0006041474
-492,24  0,0006030822
-491,5075  0,000601717
-490,775  0,0006000594
-490,0425  0,0005981148
-489,31  0,0005958851
-488,5775  0,0005933689
-487,845  0,0005905621
-487,1125  0,0005874589
-486,38  0,0005840511
-485,6475  0,0005803277
-484,915  0,0005762735
-484,1825  0,0005718682
-483,45  0,0005670884
-482,7175  0,0005619094
-481,985  0,0005563088
-481,2525  0,0005502684
-480,52  0,0005437746
-479,7875  0,000536817
