t	real_E_t	imag_E_t
-7.75485288731535e-12	0	0
-7.75289952386766e-12	0	0
-7.75094616041997e-12	0	0
-7.74899279697229e-12	0	0
-7.7470394335246e-12	0	0
-7.74508607007691e-12	0	0
-7.74313270662923e-12	0	0
-7.74117934318154e-12	0	0
-7.73922597973385e-12	0	0
-7.73727261628617e-12	0	0
-7.73531925283848e-12	0	0
-7.73336588939079e-12	0	0
-7.73141252594311e-12	0	0
-7.72945916249542e-12	0	0
-7.72750579904774e-12	0	0
-7.72555243560005e-12	0	0
-7.72359907215236e-12	0	0
-7.72164570870468e-12	0	0
-7.71969234525699e-12	0	0
-7.7177389818093e-12	0	0
-7.71578561836162e-12	0	0
-7.71383225491393e-12	0	0
-7.71187889146624e-12	0	0
-7.70992552801856e-12	0	0
-7.70797216457087e-12	0	0
-7.70601880112318e-12	0	0
-7.7040654376755e-12	0	0
-7.70211207422781e-12	0	0
-7.70015871078012e-12	0	0
-7.69820534733244e-12	0	0
-7.69625198388475e-12	0	0
-7.69429862043707e-12	0	0
-7.69234525698938e-12	0	0
-7.69039189354169e-12	0	0
-7.68843853009401e-12	0	0
-7.68648516664632e-12	0	0
-7.68453180319863e-12	0	0
-7.68257843975095e-12	0	0
-7.68062507630326e-12	0	0
-7.67867171285557e-12	0	0
-7.67671834940789e-12	0	0
-7.6747649859602e-12	0	0
-7.67281162251251e-12	0	0
-7.67085825906483e-12	0	0
-7.66890489561714e-12	0	0
-7.66695153216945e-12	0	0
-7.66499816872177e-12	0	0
-7.66304480527408e-12	0	0
-7.66109144182639e-12	0	0
-7.65913807837871e-12	0	0
-7.65718471493102e-12	0	0
-7.65523135148334e-12	0	0
-7.65327798803565e-12	0	0
-7.65132462458796e-12	0	0
-7.64937126114028e-12	0	0
-7.64741789769259e-12	0	0
-7.6454645342449e-12	0	0
-7.64351117079722e-12	0	0
-7.64155780734953e-12	0	0
-7.63960444390184e-12	0	0
-7.63765108045416e-12	0	0
-7.63569771700647e-12	0	0
-7.63374435355878e-12	0	0
-7.6317909901111e-12	0	0
-7.62983762666341e-12	0	0
-7.62788426321572e-12	0	0
-7.62593089976804e-12	0	0
-7.62397753632035e-12	0	0
-7.62202417287267e-12	0	0
-7.62007080942498e-12	0	0
-7.61811744597729e-12	0	0
-7.61616408252961e-12	0	0
-7.61421071908192e-12	0	0
-7.61225735563423e-12	0	0
-7.61030399218655e-12	0	0
-7.60835062873886e-12	0	0
-7.60639726529117e-12	0	0
-7.60444390184349e-12	0	0
-7.6024905383958e-12	0	0
-7.60053717494811e-12	0	0
-7.59858381150043e-12	0	0
-7.59663044805274e-12	0	0
-7.59467708460505e-12	0	0
-7.59272372115737e-12	0	0
-7.59077035770968e-12	0	0
-7.588816994262e-12	0	0
-7.58686363081431e-12	0	0
-7.58491026736662e-12	0	0
-7.58295690391894e-12	0	0
-7.58100354047125e-12	0	0
-7.57905017702356e-12	0	0
-7.57709681357588e-12	0	0
-7.57514345012819e-12	0	0
-7.5731900866805e-12	0	0
-7.57123672323282e-12	0	0
-7.56928335978513e-12	0	0
-7.56732999633744e-12	0	0
-7.56537663288976e-12	0	0
-7.56342326944207e-12	0	0
-7.56146990599438e-12	0	0
-7.5595165425467e-12	0	0
-7.55756317909901e-12	0	0
-7.55560981565132e-12	0	0
-7.55365645220364e-12	0	0
-7.55170308875595e-12	0	0
-7.54974972530826e-12	0	0
-7.54779636186058e-12	0	0
-7.54584299841289e-12	0	0
-7.54388963496521e-12	0	0
-7.54193627151752e-12	0	0
-7.53998290806983e-12	0	0
-7.53802954462215e-12	0	0
-7.53607618117446e-12	0	0
-7.53412281772677e-12	0	0
-7.53216945427909e-12	0	0
-7.5302160908314e-12	0	0
-7.52826272738371e-12	0	0
-7.52630936393603e-12	0	0
-7.52435600048834e-12	0	0
-7.52240263704065e-12	0	0
-7.52044927359297e-12	0	0
-7.51849591014528e-12	0	0
-7.5165425466976e-12	0	0
-7.51458918324991e-12	0	0
-7.51263581980222e-12	0	0
-7.51068245635454e-12	0	0
-7.50872909290685e-12	0	0
-7.50677572945916e-12	0	0
-7.50482236601148e-12	0	0
-7.50286900256379e-12	0	0
-7.5009156391161e-12	0	0
-7.49896227566842e-12	0	0
-7.49700891222073e-12	0	0
-7.49505554877304e-12	0	0
-7.49310218532536e-12	0	0
-7.49114882187767e-12	0	0
-7.48919545842998e-12	0	0
-7.4872420949823e-12	0	0
-7.48528873153461e-12	0	0
-7.48333536808693e-12	0	0
-7.48138200463924e-12	0	0
-7.47942864119155e-12	0	0
-7.47747527774386e-12	0	0
-7.47552191429618e-12	0	0
-7.47356855084849e-12	0	0
-7.47161518740081e-12	0	0
-7.46966182395312e-12	0	0
-7.46770846050543e-12	0	0
-7.46575509705775e-12	0	0
-7.46380173361006e-12	0	0
-7.46184837016237e-12	0	0
-7.45989500671469e-12	0	0
-7.457941643267e-12	0	0
-7.45598827981931e-12	0	0
-7.45403491637163e-12	0	0
-7.45208155292394e-12	0	0
-7.45012818947625e-12	0	0
-7.44817482602857e-12	0	0
-7.44622146258088e-12	0	0
-7.44426809913319e-12	0	0
-7.44231473568551e-12	0	0
-7.44036137223782e-12	0	0
-7.43840800879014e-12	0	0
-7.43645464534245e-12	0	0
-7.43450128189476e-12	0	0
-7.43254791844708e-12	0	0
-7.43059455499939e-12	0	0
-7.4286411915517e-12	0	0
-7.42668782810402e-12	0	0
-7.42473446465633e-12	0	0
-7.42278110120864e-12	0	0
-7.42082773776096e-12	0	0
-7.41887437431327e-12	0	0
-7.41692101086558e-12	0	0
-7.4149676474179e-12	0	0
-7.41301428397021e-12	0	0
-7.41106092052252e-12	0	0
-7.40910755707484e-12	0	0
-7.40715419362715e-12	0	0
-7.40520083017947e-12	0	0
-7.40324746673178e-12	0	0
-7.40129410328409e-12	0	0
-7.39934073983641e-12	0	0
-7.39738737638872e-12	0	0
-7.39543401294103e-12	0	0
-7.39348064949335e-12	0	0
-7.39152728604566e-12	0	0
-7.38957392259797e-12	0	0
-7.38762055915029e-12	0	0
-7.3856671957026e-12	0	0
-7.38371383225491e-12	0	0
-7.38176046880723e-12	0	0
-7.37980710535954e-12	0	0
-7.37785374191186e-12	0	0
-7.37590037846417e-12	0	0
-7.37394701501648e-12	0	0
-7.37199365156879e-12	0	0
-7.37004028812111e-12	0	0
-7.36808692467342e-12	0	0
-7.36613356122574e-12	0	0
-7.36418019777805e-12	0	0
-7.36222683433036e-12	0	0
-7.36027347088268e-12	0	0
-7.35832010743499e-12	0	0
-7.3563667439873e-12	0	0
-7.35441338053962e-12	0	0
-7.35246001709193e-12	0	0
-7.35050665364424e-12	0	0
-7.34855329019656e-12	0	0
-7.34659992674887e-12	0	0
-7.34464656330118e-12	0	0
-7.3426931998535e-12	0	0
-7.34073983640581e-12	0	0
-7.33878647295812e-12	0	0
-7.33683310951044e-12	0	0
-7.33487974606275e-12	0	0
-7.33292638261507e-12	0	0
-7.33097301916738e-12	0	0
-7.32901965571969e-12	0	0
-7.32706629227201e-12	0	0
-7.32511292882432e-12	0	0
-7.32315956537663e-12	0	0
-7.32120620192895e-12	0	0
-7.31925283848126e-12	0	0
-7.31729947503357e-12	0	0
-7.31534611158589e-12	0	0
-7.3133927481382e-12	0	0
-7.31143938469051e-12	0	0
-7.30948602124283e-12	0	0
-7.30753265779514e-12	0	0
-7.30557929434745e-12	0	0
-7.30362593089977e-12	0	0
-7.30167256745208e-12	0	0
-7.2997192040044e-12	0	0
-7.29776584055671e-12	0	0
-7.29581247710902e-12	0	0
-7.29385911366133e-12	0	0
-7.29190575021365e-12	0	0
-7.28995238676596e-12	0	0
-7.28799902331828e-12	0	0
-7.28604565987059e-12	0	0
-7.2840922964229e-12	0	0
-7.28213893297522e-12	0	0
-7.28018556952753e-12	0	0
-7.27823220607984e-12	0	0
-7.27627884263216e-12	0	0
-7.27432547918447e-12	0	0
-7.27237211573678e-12	0	0
-7.2704187522891e-12	0	0
-7.26846538884141e-12	0	0
-7.26651202539372e-12	0	0
-7.26455866194604e-12	0	0
-7.26260529849835e-12	0	0
-7.26065193505067e-12	0	0
-7.25869857160298e-12	0	0
-7.25674520815529e-12	0	0
-7.25479184470761e-12	0	0
-7.25283848125992e-12	0	0
-7.25088511781223e-12	0	0
-7.24893175436455e-12	0	0
-7.24697839091686e-12	0	0
-7.24502502746917e-12	0	0
-7.24307166402149e-12	0	0
-7.2411183005738e-12	0	0
-7.23916493712611e-12	0	0
-7.23721157367843e-12	0	0
-7.23525821023074e-12	0	0
-7.23330484678305e-12	0	0
-7.23135148333537e-12	0	0
-7.22939811988768e-12	0	0
-7.22744475643999e-12	0	0
-7.22549139299231e-12	0	0
-7.22353802954462e-12	0	0
-7.22158466609694e-12	0	0
-7.21963130264925e-12	0	0
-7.21767793920156e-12	0	0
-7.21572457575388e-12	0	0
-7.21377121230619e-12	0	0
-7.2118178488585e-12	0	0
-7.20986448541082e-12	0	0
-7.20791112196313e-12	0	0
-7.20595775851544e-12	0	0
-7.20400439506776e-12	0	0
-7.20205103162007e-12	0	0
-7.20009766817238e-12	0	0
-7.1981443047247e-12	0	0
-7.19619094127701e-12	0	0
-7.19423757782933e-12	0	0
-7.19228421438164e-12	0	0
-7.19033085093395e-12	0	0
-7.18837748748627e-12	0	0
-7.18642412403858e-12	0	0
-7.18447076059089e-12	0	0
-7.18251739714321e-12	0	0
-7.18056403369552e-12	0	0
-7.17861067024783e-12	0	0
-7.17665730680015e-12	0	0
-7.17470394335246e-12	0	0
-7.17275057990477e-12	0	0
-7.17079721645709e-12	0	0
-7.1688438530094e-12	0	0
-7.16689048956171e-12	0	0
-7.16493712611403e-12	0	0
-7.16298376266634e-12	0	0
-7.16103039921865e-12	0	0
-7.15907703577097e-12	0	0
-7.15712367232328e-12	0	0
-7.1551703088756e-12	0	0
-7.15321694542791e-12	0	0
-7.15126358198022e-12	0	0
-7.14931021853254e-12	0	0
-7.14735685508485e-12	0	0
-7.14540349163716e-12	0	0
-7.14345012818948e-12	0	0
-7.14149676474179e-12	0	0
-7.1395434012941e-12	0	0
-7.13759003784642e-12	0	0
-7.13563667439873e-12	0	0
-7.13368331095104e-12	0	0
-7.13172994750336e-12	0	0
-7.12977658405567e-12	0	0
-7.12782322060798e-12	0	0
-7.1258698571603e-12	0	0
-7.12391649371261e-12	0	0
-7.12196313026492e-12	0	0
-7.12000976681724e-12	0	0
-7.11805640336955e-12	0	0
-7.11610303992187e-12	0	0
-7.11414967647418e-12	0	0
-7.11219631302649e-12	0	0
-7.11024294957881e-12	0	0
-7.10828958613112e-12	0	0
-7.10633622268343e-12	0	0
-7.10438285923575e-12	0	0
-7.10242949578806e-12	0	0
-7.10047613234037e-12	0	0
-7.09852276889269e-12	0	0
-7.096569405445e-12	0	0
-7.09461604199731e-12	0	0
-7.09266267854963e-12	0	0
-7.09070931510194e-12	0	0
-7.08875595165425e-12	0	0
-7.08680258820657e-12	0	0
-7.08484922475888e-12	0	0
-7.0828958613112e-12	0	0
-7.08094249786351e-12	0	0
-7.07898913441582e-12	0	0
-7.07703577096814e-12	0	0
-7.07508240752045e-12	0	0
-7.07312904407276e-12	0	0
-7.07117568062508e-12	0	0
-7.06922231717739e-12	0	0
-7.0672689537297e-12	0	0
-7.06531559028202e-12	0	0
-7.06336222683433e-12	0	0
-7.06140886338664e-12	0	0
-7.05945549993896e-12	0	0
-7.05750213649127e-12	0	0
-7.05554877304358e-12	0	0
-7.0535954095959e-12	0	0
-7.05164204614821e-12	0	0
-7.04968868270053e-12	0	0
-7.04773531925284e-12	0	0
-7.04578195580515e-12	0	0
-7.04382859235747e-12	0	0
-7.04187522890978e-12	0	0
-7.03992186546209e-12	0	0
-7.03796850201441e-12	0	0
-7.03601513856672e-12	0	0
-7.03406177511903e-12	0	0
-7.03210841167135e-12	0	0
-7.03015504822366e-12	0	0
-7.02820168477597e-12	0	0
-7.02624832132829e-12	0	0
-7.0242949578806e-12	0	0
-7.02234159443291e-12	0	0
-7.02038823098523e-12	0	0
-7.01843486753754e-12	0	0
-7.01648150408985e-12	0	0
-7.01452814064217e-12	0	0
-7.01257477719448e-12	0	0
-7.0106214137468e-12	0	0
-7.00866805029911e-12	0	0
-7.00671468685142e-12	0	0
-7.00476132340374e-12	0	0
-7.00280795995605e-12	0	0
-7.00085459650836e-12	0	0
-6.99890123306068e-12	0	0
-6.99694786961299e-12	0	0
-6.9949945061653e-12	0	0
-6.99304114271762e-12	0	0
-6.99108777926993e-12	0	0
-6.98913441582224e-12	0	0
-6.98718105237456e-12	0	0
-6.98522768892687e-12	0	0
-6.98327432547918e-12	0	0
-6.9813209620315e-12	0	0
-6.97936759858381e-12	0	0
-6.97741423513612e-12	0	0
-6.97546087168844e-12	0	0
-6.97350750824075e-12	0	0
-6.97155414479307e-12	0	0
-6.96960078134538e-12	0	0
-6.96764741789769e-12	0	0
-6.96569405445001e-12	0	0
-6.96374069100232e-12	0	0
