m_wavelength	m_R	m_GDD
1068.0	100	-8.485815
1069.0	100	-8.787538
1070.0	100	-9.096967
1071.0	100	-9.414494
1072.0	100	-9.740529
1073.0	100	-10.075508
1074.0	100	-10.419885
1075.0	100	-10.774145
1076.0	100	-11.138794
1077.0	100	-11.514372
1078.0	100	-11.901446
1079.0	100	-12.300621
1080.0	100	-12.712533
1081.0	100	-13.137861
1082.0	100	-13.577323
1083.0	100	-14.031684
1084.0	100	-14.501755
1085.0	100	-14.988403
1086.0	100	-15.49255
1087.0	100	-16.015178
1088.0	100	-16.557339
1089.0	100	-17.120155
1090.0	100	-17.704827
1091.0	100	-18.31264
1092.0	100	-18.944975
1093.0	100	-19.60331
1094.0	100	-20.289236
1095.0	100	-21.004462
1096.0	100	-21.75083
1097.0	100	-22.530324
1098.0	100	-23.345086
1099.0	100	-24.19743
1100.0	100	-25.089862
1101.0	100	-26.025092
1102.0	100	-27.006063
1103.0	100	-28.03597
1104.0	100	-29.118287
1105.0	100	-30.2568
1106.0	100	-31.455634
1107.0	100	-32.719299
1108.0	100	-34.052724
1109.0	100	-35.461312
1110.0	100	-36.950991
1111.0	100	-38.528278
1112.0	100	-40.200346
1113.0	100	-41.97511
1114.0	100	-43.861314
1115.0	100	-45.868637
1116.0	100	-48.007819
1117.0	100	-50.290792
1118.0	100	-52.73065
1119.0	100	-55.342816
1120.0	100	-58.143299
1121.0	100	-61.150896
1122.0	100	-64.386514
1123.0	100	-67.873706
1124.0	100	-71.639074
1125.0	100	-75.712745
1126.0	100	-80.128928
1127.0	100	-84.926583
1128.0	100	-90.150211
1129.0	100	-95.850799
1130.0	100	-102.086953
1131.0	100	-108.926267
1132.0	100	-116.446971
1133.0	100	-124.739937
1134.0	100	-133.911128
1135.0	100	-144.084592
1136.0	100	-155.406161
1137.0	100	-168.048022
1138.0	100	-182.214412
1139.0	100	-198.148742
1140.0	100	-216.142574
1141.0	100	-236.546979
1142.0	100	-259.787021
1143.0	100	-286.380336
1144.0	100	-316.961118
1145.0	100	-352.311313
1146.0	100	-393.401458
1147.0	100	-441.444552
1148.0	100	-497.967591
1149.0	100	-564.907273
1150.0	100	-644.738866
1151.0	100	-740.650777
1152.0	100	-856.782171
1153.0	100	-998.547284
1154.0	100	-1173.077673
1155.0	100	-1389.821106
1156.0	100	-1661.337919
1157.0	100	-2004.318023
1158.0	100	-2440.765615
1159.0	100	-2999.065276
1160.0	100	-3714.005705
1161.0	100	-4623.192273
1162.0	100	-5753.199927
1163.0	100	-7079.122568
1164.0	100	-8419.408579
1165.0	100	-9181.44603
1166.0	100	-7758.118618
1167.0	100	204.691573
1168.0	100	31042.167719
1169.0	100	226052.208848
1170.0	100	1.750353521786e6
1171.0	100	1.750353521786e6
1172.0	100	-45755.745195
1173.0	100	-4672.773586
1174.0	100	3483.741738
1175.0	100	4981.431774
1176.0	100	4730.898245
1177.0	100	4046.897626
1178.0	100	3328.903034
1179.0	100	2693.027921
1180.0	100	2161.367857
1181.0	100	1725.804792
1182.0	100	1370.433981
1183.0	100	1079.269661
1184.0	100	838.560875
1185.0	100	637.164644
1186.0	100	466.278124
1187.0	100	319.01652
1188.0	100	190.00856
1189.0	100	75.060263
1190.0	100	-29.106743
1191.0	100	-125.05044
1192.0	100	-214.747977
1193.0	100	-299.688961
1194.0	100	-380.929105
1195.0	100	-459.107934
1196.0	100	-534.431188
1197.0	100	-606.615592
1198.0	100	-674.790236
1199.0	100	-737.344808
1200.0	100	-791.709437
1201.0	100	-834.042856
1202.0	100	-858.792473
1203.0	100	-858.06693
1204.0	100	-820.718867
1205.0	100	-730.731767
1206.0	100	-566.090804
1207.0	100	-292.836249
1208.0	100	139.542854
1209.0	100	812.166352
1210.0	100	1862.936812
1211.0	100	3543.651501
1212.0	100	6352.233383
1213.0	100	11362.596
1214.0	100	21111.350296
1215.0	100	42058.060844
1216.0	100	89619.318357
1217.0	100	163247.355726
1218.0	100	18584.637972
1219.0	100	-165146.270094
1220.0	100	-96751.154204
1221.0	100	-96751.154204
1222.0	100	-22294.129942
1223.0	100	-11831.110242
1224.0	100	-6582.973168
1225.0	100	-6582.973168
1226.0	100	-2077.334794
1227.0	100	-1079.751977
1228.0	100	-460.487604
1229.0	100	-71.336111
1230.0	100	172.418229
1231.0	100	321.67542
1232.0	100	408.284313
1233.0	100	452.829101
1234.0	100	468.954308
1235.0	100	465.880157
1236.0	100	449.925738
1237.0	100	425.464162
1238.0	100	395.539645
1239.0	100	362.276327
1240.0	100	327.154844
1241.0	100	291.202742
1242.0	100	255.127489
1243.0	100	219.410597
1244.0	100	184.374966
1245.0	100	150.233618
1246.0	100	117.125401
1247.0	100	85.141524
1248.0	100	54.345685
1249.0	100	24.789744
1250.0	100	-3.473594
1251.0	100	-30.380025
1252.0	100	-55.84394
1253.0	100	-79.749128
1254.0	100	-101.939259
1255.0	100	-122.207609
1256.0	100	-140.285498
1257.0	100	-155.828806
1258.0	100	-168.4019
1259.0	100	-177.458089
1260.0	100	-182.315495
1261.0	100	-182.126852
1262.0	100	-175.841167
1263.0	100	-162.154382
1264.0	100	-139.444903
1265.0	100	-105.688038
1266.0	100	-58.340537
1267.0	100	5.817884
1268.0	100	90.905855
1269.0	100	202.254861
1270.0	100	346.863985
1271.0	100	534.068778
1272.0	100	776.541953
1273.0	100	1091.815807
1274.0	100	1504.636694
1275.0	100	2050.663481
1276.0	100	2782.357072
1277.0	100	3778.446937
1278.0	100	5159.142784
1279.0	100	7110.038967
1280.0	100	9916.822098
1281.0	100	14003.2848
1282.0	100	19919.411763
1283.0	100	28055.680818
1284.0	100	37384.769721
1285.0	100	42147.470929
1286.0	100	29799.774994
1287.0	100	-3625.363531
1288.0	100	-33899.770262
1289.0	100	-41814.180065
1290.0	100	-35432.654127
1291.0	100	-26209.714225
1292.0	100	-26209.714225
1293.0	100	-13096.057115
1294.0	100	-9318.107206
1295.0	100	-6717.818244
1296.0	100	-4905.960325
1297.0	100	-3621.646803
1298.0	100	-2694.873482
1299.0	100	-2014.819174
1300.0	100	-2014.819174
