t_laura        	Et_real        	Et_imag        	Et_abs         
-6.700000000000000e-12	1.834157734234834e-10	3.253669858997457e-11	1.862793136547090e-10
-6.680000000000000e-12	2.265777775895756e-10	7.660902273126406e-11	2.391786605474462e-10
-6.660000000000000e-12	2.566388012754351e-10	8.796304263721982e-11	2.712949892461887e-10
-6.640000000000000e-12	3.160796097247440e-10	2.874520167034103e-11	3.173840044848119e-10
-6.620000000000000e-12	2.621325865248059e-10	1.567563538061265e-12	2.621372735297877e-10
-6.600000000000000e-12	1.377649249949087e-10	3.657357935006424e-11	1.425370171756386e-10
-6.580000000000000e-12	2.196590265880601e-10	1.824793423331804e-10	2.855675022476545e-10
-6.560000000000000e-12	2.315532187420064e-10	3.287459788106684e-10	4.021079602469565e-10
-6.540000000000000e-12	2.319335480257168e-12	3.282854832835797e-10	3.282936762287745e-10
-6.520000000000000e-12	-4.527786125446207e-11	2.248628768793657e-10	2.293761062496334e-10
-6.500000000000000e-12	1.151147091186806e-10	7.117617878995364e-11	1.353419546283335e-10
-6.480000000000000e-12	-6.352106065292316e-11	-1.093247495700959e-10	1.264390209351390e-10
-6.460000000000000e-12	-6.157743083064323e-10	-4.198917472255802e-10	7.453100550498535e-10
-6.440000000000000e-12	-9.968355466818875e-10	-5.921990116719652e-10	1.159474353555882e-09
-6.420000000000000e-12	-9.281802137132543e-10	-3.039840813506862e-10	9.766907549697616e-10
-6.400000000000000e-12	-4.344374527517023e-10	-1.770121786329759e-10	4.691153501408584e-10
-6.380000000000000e-12	-4.847551047367238e-12	-2.617608742918905e-10	2.618057563561423e-10
-6.360000000000000e-12	6.981491507258866e-11	2.220137387678949e-10	2.327320832379839e-10
-6.340000000000000e-12	-4.401052840149514e-10	8.683370047132567e-10	9.734997764623634e-10
-6.320000000000000e-12	-9.653397168970440e-10	1.330769226915379e-09	1.644027829546635e-09
-6.300000000000000e-12	-9.853452298683852e-10	2.020968231224348e-09	2.248381153995570e-09
-6.280000000000000e-12	-2.388166329104187e-10	2.121230975159223e-09	2.134632107443720e-09
-6.260000000000000e-12	2.732137037086121e-09	9.439834619043952e-10	2.890618889747788e-09
-6.240000000000000e-12	5.943768753933865e-09	-3.038868783227153e-10	5.951532091407829e-09
-6.220000000000000e-12	6.662862194745686e-09	-2.053904316957490e-09	6.972248960657380e-09
-6.200000000000000e-12	6.594288781241054e-09	-3.823881338420966e-09	7.622775939297031e-09
-6.180000000000000e-12	6.672966980558536e-09	-3.344141216620689e-09	7.464031671980352e-09
-6.160000000000000e-12	5.054222982312539e-09	-2.010845777317347e-09	5.439546920019283e-09
-6.140000000000000e-12	3.423774642398857e-09	-2.712567088802967e-09	4.368094895167735e-09
-6.120000000000000e-12	2.827633019256088e-09	-4.820378671079179e-09	5.588520289323675e-09
-6.100000000000000e-12	1.668647132976012e-09	-5.810911384591752e-09	6.045748454407203e-09
-6.080000000000000e-12	-2.001655151717119e-09	-4.782439340029583e-09	5.184433371879542e-09
-6.060000000000000e-12	-6.174300519169494e-09	-4.376042980501517e-09	7.567809396926782e-09
-6.040000000000000e-12	-7.245242904017488e-09	-2.593520176992611e-09	7.695446162938413e-09
-6.020000000000000e-12	-8.094368376500371e-09	1.381944071583898e-09	8.211490049404866e-09
-6.000000000000000e-12	-9.841425660457718e-09	4.388503316535087e-09	1.077555661622893e-08
-5.980000000000000e-12	-8.147096370699303e-09	7.137000348612771e-09	1.083106427132443e-08
-5.960000000000000e-12	-1.162145716687770e-09	9.246910292835150e-09	9.319653031661445e-09
-5.940000000000000e-12	3.135627238509483e-09	8.507539844549706e-09	9.066994672187883e-09
-5.920000000000000e-12	5.486236363944486e-10	3.962052997480233e-09	3.999856478581797e-09
-5.900000000000000e-12	-3.785853429375994e-09	-4.703786391278861e-09	6.038070271493881e-09
-5.880000000000000e-12	-4.723635510456953e-09	-7.900947853099035e-09	9.205308762504394e-09
-5.860000000000000e-12	2.030616892659012e-09	-3.306283574251540e-09	3.880066499187569e-09
-5.840000000000000e-12	1.020760551941951e-08	1.935477682134695e-09	1.038947950082800e-08
-5.820000000000000e-12	1.519094285323678e-08	8.515298526650376e-09	1.741479410639930e-08
-5.800000000000000e-12	2.834620552815940e-08	1.197937010185087e-08	3.077357106157446e-08
-5.780000000000000e-12	3.934202481642256e-08	7.173340107667150e-09	3.999064546811259e-08
-5.760000000000000e-12	3.405552853943774e-08	-1.061577503674623e-09	3.407207024671037e-08
-5.740000000000000e-12	2.155842899210067e-08	-7.140399015918649e-09	2.271015540928724e-08
-5.720000000000000e-12	8.649637805140183e-09	-1.373515298588814e-08	1.623177937583746e-08
-5.700000000000000e-12	-3.093090022677900e-09	-7.654853449731183e-09	8.256148449807027e-09
-5.680000000000000e-12	-5.071679641681542e-09	6.379276403994534e-09	8.149668816977070e-09
-5.660000000000000e-12	1.950768304984693e-09	-1.840379172062587e-08	1.850689186967683e-08
-5.640000000000000e-12	-5.692836105958312e-09	-5.905200765727942e-08	5.932577847179664e-08
-5.620000000000000e-12	7.247961821182147e-09	-4.924454996546869e-08	4.977508063140487e-08
-5.600000000000000e-12	6.558664731136831e-08	-3.930612112098228e-08	7.646292868523376e-08
-5.580000000000000e-12	9.260322909732480e-08	-4.263088460225008e-08	1.019448397969313e-07
-5.560000000000000e-12	7.248675176938649e-08	1.035851919815020e-09	7.249415266955287e-08
-5.540000000000000e-12	7.166303225533756e-08	1.428413958952465e-08	7.307275029614375e-08
-5.520000000000000e-12	3.627656976687839e-08	-3.877413531521291e-08	5.309823992839722e-08
-5.500000000000000e-12	-2.660728041217225e-08	-4.325851361948135e-08	5.078628133166297e-08
-5.480000000000000e-12	-3.136758742999346e-08	-3.547882349949928e-08	4.735686284042584e-08
-5.460000000000000e-12	-1.103938335159429e-09	4.082938663722215e-09	4.229547018245845e-09
-5.440000000000000e-12	-3.340035063904394e-08	1.231158049827502e-07	1.275660019729460e-07
-5.420000000000000e-12	-6.402584749478198e-08	3.085038159828488e-07	3.150776311060570e-07
-5.400000000000000e-12	-9.602842268724563e-08	3.977355750643973e-07	4.091638371552491e-07
-5.380000000000000e-12	-2.654463722561834e-07	3.577289931505295e-07	4.454568543467032e-07
-5.360000000000000e-12	-5.227117660717750e-07	3.768506194634288e-07	6.443942735467503e-07
-5.340000000000000e-12	-6.883372183917907e-07	3.818951981491862e-07	7.871798197316507e-07
-5.320000000000000e-12	-7.237219199522573e-07	1.708533580106086e-07	7.436156852587784e-07
-5.300000000000000e-12	-5.401859135550236e-07	-1.871753035694954e-07	5.716952120401291e-07
-5.280000000000000e-12	-1.636079475292716e-07	-4.639873041378880e-07	4.919875800219817e-07
-5.260000000000000e-12	8.207295659327672e-08	-3.818124502748695e-07	3.905338876318694e-07
-5.240000000000000e-12	2.319437849468155e-07	1.052268254667806e-07	2.546970831660051e-07
-5.220000000000000e-12	2.716387232623314e-07	6.232000101756990e-07	6.798278080945063e-07
-5.200000000000000e-12	1.944045946725248e-07	7.528338426936527e-07	7.775293828111450e-07
-5.180000000000000e-12	-2.472879956648683e-08	5.178314918286255e-07	5.184216116805502e-07
-5.160000000000000e-12	-2.609770972827428e-07	2.280426644887201e-07	3.465725063146833e-07
-5.140000000000000e-12	-3.893450554929731e-07	1.163618213937598e-07	4.063614717402470e-07
-5.120000000000000e-12	-3.013559372380397e-07	3.119423280294486e-07	4.337319643801336e-07
-5.100000000000000e-12	-1.527877651080440e-07	2.467679484997705e-07	2.902387320353647e-07
-5.080000000000000e-12	-1.304784026939908e-07	-1.821144096297917e-07	2.240318543519711e-07
-5.060000000000000e-12	-7.019582327794791e-08	-9.404540532100564e-07	9.430701351463169e-07
-5.040000000000000e-12	3.839019071239586e-08	-1.688279333600468e-06	1.688715759091912e-06
-5.020000000000000e-12	3.067941666184114e-07	-1.340568170879535e-06	1.375225683822982e-06
-5.000000000000000e-12	3.945658241142268e-08	-4.850585997570371e-07	4.866607309962936e-07
-4.980000000000000e-12	-5.777457721484433e-07	-1.203077518600984e-07	5.901390788560201e-07
-4.960000000000000e-12	-7.149960260815247e-07	-1.467684759491144e-07	7.299043107454552e-07
-4.940000000000000e-12	-7.657369094457999e-07	3.693507383476552e-07	8.501605627206917e-07
-4.920000000000000e-12	-1.408757494694899e-06	1.013826059177819e-06	1.735638486876536e-06
-4.900000000000000e-12	-2.206845595675924e-06	9.180483467039165e-07	2.390184145633976e-06
-4.880000000000000e-12	-2.570199074536814e-06	1.267023905563530e-07	2.573320185776070e-06
-4.860000000000000e-12	-1.908497740069261e-06	-6.754527650625342e-07	2.024499953489775e-06
-4.840000000000000e-12	-1.529226823058800e-07	-4.240203303120900e-07	4.507533552638283e-07
-4.820000000000000e-12	1.565942325858226e-06	3.331139838561754e-07	1.600981041160326e-06
-4.800000000000000e-12	2.547843899307976e-06	1.661893834655080e-06	3.041940113300299e-06
-4.780000000000000e-12	1.367443774068636e-06	2.053537626616653e-06	2.467168267299462e-06
-4.760000000000000e-12	1.431691420302347e-07	1.716316181587841e-06	1.722277166547225e-06
-4.740000000000000e-12	1.042464179353320e-06	4.174693330984653e-06	4.302882286677446e-06
-4.720000000000000e-12	-2.978923471148662e-07	7.958575227150579e-06	7.964148384898695e-06
-4.700000000000000e-12	-2.983402865120742e-06	8.704619781126977e-06	9.201689963783702e-06
-4.680000000000000e-12	-1.114658423087452e-06	8.125791865864632e-06	8.201887395442078e-06
-4.660000000000000e-12	1.419141940095793e-06	7.131202811255296e-06	7.271039635526291e-06
-4.640000000000000e-12	-4.545545162642818e-07	4.388727568179425e-06	4.412204604951400e-06
-4.620000000000000e-12	-6.522244248496085e-06	8.888810055289026e-07	6.582535945897321e-06
-4.600000000000000e-12	-1.347173552926506e-05	-4.748208989958436e-06	1.428401717944866e-05
-4.580000000000000e-12	-1.478009155293932e-05	-6.267254831703055e-06	1.605395868434865e-05
-4.560000000000000e-12	-1.192059938104975e-05	-3.076615710006078e-06	1.231122470879887e-05
-4.540000000000000e-12	-7.901330638011544e-06	1.309166490484828e-06	8.009053798732300e-06
-4.520000000000000e-12	-5.274344743549030e-06	6.492069631343283e-06	8.364549035782682e-06
-4.500000000000000e-12	-6.593826727906067e-06	1.342016516929647e-05	1.495257115311098e-05
-4.480000000000000e-12	-8.295848087221653e-06	2.453349392434323e-05	2.589813544682407e-05
-4.460000000000000e-12	-5.328449373600604e-06	3.106961823667743e-05	3.152322239397335e-05
-4.440000000000000e-12	3.447514587963651e-06	2.526932138059825e-05	2.550341074974447e-05
-4.420000000000000e-12	1.322299107129737e-05	1.452827382820815e-05	1.964480168642605e-05
-4.400000000000000e-12	1.211924185702179e-05	8.352175203177986e-07	1.214798796077913e-05
-4.380000000000000e-12	-1.896959322826684e-06	4.838906042486385e-07	1.957703958554302e-06
-4.360000000000000e-12	-1.250216840283540e-05	1.652884579852065e-05	2.072454965021266e-05
-4.340000000000000e-12	-1.596464786556545e-05	3.713421056321327e-05	4.042053408386093e-05
-4.320000000000000e-12	5.249605234111225e-06	4.565087362653345e-05	4.595172051163847e-05
-4.300000000000000e-12	3.521610850306527e-05	3.865136924356144e-05	5.228864735773716e-05
-4.280000000000000e-12	4.155513870548223e-05	1.146143401538085e-05	4.310677467081939e-05
-4.260000000000000e-12	2.057543701931006e-05	-1.208284802132622e-05	2.386092673896095e-05
-4.240000000000000e-12	-2.585685501930866e-05	-2.008632890959828e-05	3.274198467646870e-05
-4.220000000000000e-12	-4.931763992438565e-05	-1.059926050256197e-05	5.044376999107548e-05
-4.200000000000000e-12	-3.535020664515155e-05	-7.512842701314864e-06	3.613972765959390e-05
-4.180000000000000e-12	-1.531841036098403e-05	-3.226717263639312e-05	3.571868034984355e-05
-4.160000000000000e-12	9.308409410164124e-07	-5.196236313608215e-05	5.197069989468625e-05
-4.140000000000000e-12	-3.224908807022808e-06	-5.103919873416434e-05	5.114098008680647e-05
-4.120000000000000e-12	1.406214125906804e-05	-5.932937181447345e-05	6.097309387500376e-05
-4.100000000000000e-12	4.249649589382652e-05	-6.571838410221154e-05	7.826147310305260e-05
-4.080000000000000e-12	5.683092854822185e-05	-5.628156550650179e-05	7.998355490671660e-05
-4.060000000000000e-12	4.624391652105835e-05	-4.785558326126492e-05	6.654815297573985e-05
-4.040000000000000e-12	-1.169661348473732e-05	-2.816307669629445e-05	3.049540385062481e-05
-4.020000000000000e-12	-6.666969080418024e-05	2.253703635729212e-05	7.037588848245471e-05
-4.000000000000000e-12	-7.468259058917982e-05	9.257915871877526e-05	1.189470048642976e-04
-3.980000000000000e-12	-6.287127766679424e-05	1.629888190749443e-04	1.746944552608928e-04
-3.960000000000000e-12	-4.871372709647620e-05	1.749382259999398e-04	1.815940806404106e-04
-3.940000000000000e-12	3.864259952985458e-06	1.023776412901584e-04	1.024505438790863e-04
-3.920000000000000e-12	3.214254924653177e-05	3.752159616853269e-06	3.236081231761750e-05
-3.900000000000000e-12	4.619857341354539e-05	-2.648610596040752e-05	5.325243651132478e-05
-3.880000000000000e-12	1.351641030983168e-04	9.510785444184206e-05	1.652720143971841e-04
-3.860000000000000e-12	1.672294336252877e-04	1.350620119273212e-04	2.149591368992962e-04
-3.840000000000000e-12	1.168315601140963e-04	1.695999436990821e-04	2.059459986050361e-04
-3.820000000000000e-12	2.694241688006415e-05	4.428406848847820e-04	4.436595158638683e-04
-3.800000000000000e-12	5.652588265056063e-05	6.529630995746964e-04	6.554052065826300e-04
-3.780000000000000e-12	1.451133420359609e-04	4.670967932678350e-04	4.891188979358090e-04
-3.760000000000000e-12	1.623941151278322e-04	1.244300903390949e-04	2.045842027380094e-04
-3.740000000000000e-12	8.748359266791751e-05	-9.833389551261779e-05	1.316166174644089e-04
-3.720000000000000e-12	6.949904113556638e-05	-2.528979979409539e-04	2.622737388327430e-04
-3.700000000000000e-12	2.214385230165043e-04	-2.783176423859726e-04	3.556623813942333e-04
-3.680000000000000e-12	2.596437987197564e-04	-2.832494258356425e-04	3.842461964025753e-04
-3.660000000000000e-12	1.760277750660942e-04	-3.406491464036169e-04	3.834418059370057e-04
-3.640000000000000e-12	5.136013323952774e-05	-3.858219455712387e-04	3.892254320708732e-04
-3.620000000000000e-12	1.457111272569471e-04	-3.795366480258867e-04	4.065461840937829e-04
-3.600000000000000e-12	3.865390273549615e-04	-5.062164388946788e-04	6.369203267879977e-04
-3.580000000000000e-12	6.533898779742701e-04	-6.133027440416904e-04	8.961353628154057e-04
-3.560000000000000e-12	8.677443486745318e-04	-7.536963230976739e-04	1.149364346979469e-03
-3.540000000000000e-12	7.590565874691850e-04	-4.551725315812059e-04	8.850700178440169e-04
-3.520000000000000e-12	2.747107880686528e-04	3.026403404366718e-04	4.087263054183384e-04
