m_wavelength	m_R	m_GDD
1043.0	99.9973	0.0
1044.0	99.9972	0.0
1045.0	99.9972	0.0
1046.0	99.9972	0.0
1047.0	99.9971	0.0
1048.0	99.9971	0.0
1049.0	99.997	0.0
1050.0	99.997	0.0
1051.0	99.9969	0.0
1052.0	99.9969	0.0
1053.0	99.9968	0.0
1054.0	99.9968	0.0
1055.0	99.9967	0.0
1056.0	99.9966	0.0
1057.0	99.9966	0.0
1058.0	99.9965	0.0
1059.0	99.9964	0.0
1060.0	99.9963	0.0
1061.0	99.9962	0.0
1062.0	99.9961	0.0
1063.0	99.9961	0.0
1064.0	99.9959	0.0
1065.0	99.9958	0.0
1066.0	99.9957	0.0
1067.0	99.9956	0.0
1068.0	99.9955	0.0
1069.0	99.9953	0.0
1070.0	99.9952	0.0
1071.0	99.995	0.0
1072.0	99.9949	0.0
1073.0	99.9947	0.0
1074.0	99.9945	0.0
1075.0	99.9943	0.0
1076.0	99.9941	0.0
1077.0	99.9939	0.0
1078.0	99.9937	0.0
1079.0	99.9934	0.0
1080.0	99.9932	0.0
1081.0	99.9929	0.0
1082.0	99.9926	0.0
1083.0	99.9923	0.0
1084.0	99.992	0.0
1085.0	99.9916	0.0
1086.0	99.9912	0.0
1087.0	99.9908	0.0
1088.0	99.9904	0.0
1089.0	99.99	0.0
1090.0	99.9895	0.0
1091.0	99.989	0.0
1092.0	99.9884	0.0
1093.0	99.9878	0.0
1094.0	99.9872	0.0
1095.0	99.9866	0.0
1096.0	99.9858	0.0
1097.0	99.9851	0.0
1098.0	99.9842	0.0
1099.0	99.9834	0.0
1100.0	99.9824	0.0
1101.0	99.9814	0.0
1102.0	99.9803	0.0
1103.0	99.9791	0.0
1104.0	99.9778	0.0
1105.0	99.9764	0.0
1106.0	99.9749	0.0
1107.0	99.9733	0.0
1108.0	99.9715	0.0
1109.0	99.9696	0.0
1110.0	99.9675	0.0
1111.0	99.9653	0.0
1112.0	99.9629	0.0
1113.0	99.9602	0.0
1114.0	99.9573	0.0
1115.0	99.9541	0.0
1116.0	99.9506	0.0
1117.0	99.9468	0.0
1118.0	99.9427	0.0
1119.0	99.9381	0.0
1120.0	99.9331	0.0
1121.0	99.9275	0.0
1122.0	99.9214	0.0
1123.0	99.9146	0.0
1124.0	99.9072	0.0
1125.0	99.8989	0.0
1126.0	99.8897	0.0
1127.0	99.8795	0.0
1128.0	99.8681	0.0
1129.0	99.8554	0.0
1130.0	99.8411	0.0
1131.0	99.8251	0.0
1132.0	99.8072	0.0
1133.0	99.787	0.0
1134.0	99.7642	0.0
1135.0	99.7384	0.0
1136.0	99.709	0.0
1137.0	99.6757	0.0
1138.0	99.6376	0.0
1139.0	99.594	0.0
1140.0	99.544	0.0
1141.0	99.4863	0.0
1142.0	99.4196	0.0
1143.0	99.3421	0.0
1144.0	99.2519	0.0
1145.0	99.1463	0.0
1146.0	99.0221	0.0
1147.0	98.8754	0.0
1148.0	98.7012	0.0
1149.0	98.4932	0.0
1150.0	98.2434	0.0
1151.0	97.9416	0.0
1152.0	97.5742	0.0
1153.0	97.1239	0.0
1154.0	96.5677	0.0
1155.0	95.8746	0.0
1156.0	95.0034	0.0
1157.0	93.8974	0.0
1158.0	92.4793	0.0
1159.0	90.6415	0.0
1160.0	88.2346	0.0
1161.0	85.0509	0.0
1162.0	80.8051	0.0
1163.0	75.1187	0.0
1164.0	67.5288	0.0
1165.0	57.5735	0.0
1166.0	45.0553	0.0
1167.0	30.579	0.0
1168.0	16.188	0.0
1169.0	5.2432	0.0
1170.0	0.6817	0.0
1171.0	2.898	0.0
1172.0	9.7888	0.0
1173.0	18.6366	0.0
1174.0	27.5089	0.0
1175.0	35.4608	0.0
1176.0	42.2009	0.0
1177.0	47.7558	0.0
1178.0	52.2702	0.0
1179.0	55.912	0.0
1180.0	58.8348	0.0
1181.0	61.167	0.0
1182.0	63.0115	0.0
1183.0	64.449	0.0
1184.0	65.5422	0.0
1185.0	66.3392	0.0
1186.0	66.8767	0.0
1187.0	67.1825	0.0
1188.0	67.2769	0.0
1189.0	67.1746	0.0
1190.0	66.8856	0.0
1191.0	66.4158	0.0
1192.0	65.7678	0.0
1193.0	64.9415	0.0
1194.0	63.9343	0.0
1195.0	62.7415	0.0
1196.0	61.3566	0.0
1197.0	59.7719	0.0
1198.0	57.9785	0.0
1199.0	55.9674	0.0
1200.0	53.7297	0.0
1201.0	51.2577	0.0
1202.0	48.5462	0.0
1203.0	45.5936	0.0
1204.0	42.404	0.0
1205.0	38.989	0.0
1206.0	35.3703	0.0
1207.0	31.5817	0.0
1208.0	27.6714	0.0
1209.0	23.7035	0.0
1210.0	19.7581	0.0
1211.0	15.9298	0.0
1212.0	12.3243	0.0
1213.0	9.0518	0.0
1214.0	6.2194	0.0
1215.0	3.9214	0.0
1216.0	2.2306	0.0
1217.0	1.1911	0.0
1218.0	0.8139	0.0
1219.0	1.0774	0.0
1220.0	1.9309	0.0
1221.0	3.3012	0.0
1222.0	5.1009	0.0
1223.0	7.2366	0.0
1224.0	9.6158	0.0
1225.0	12.1528	0.0
1226.0	14.7719	0.0
1227.0	17.4089	0.0
1228.0	20.0121	0.0
