-750,08  9,101346E-10  0  -2,808331E-5  1,102101E-5
-749,3475  1,071033E-7  0  -0,0003265464  -2,16979E-5
-748,615  1,365156E-7  0  -0,0003685732  -2,587317E-5
-747,8825  5,154644E-8  0  -0,0002268532  -9,167636E-6
-747,15  6,921079E-10  0  -2,158042E-5  1,504638E-5
-746,4175  1,890819E-8  0  0,0001333298  3,36356E-5
-745,685  3,209493E-8  0  0,0001748603  3,897172E-5
-744,9525  1,25729E-8  0  0,0001076913  3,123281E-5
-744,22  4,134191E-10  0  -1,120948E-5  1,696369E-5
-743,4875  1,197561E-8  0  -0,0001093225  4,919524E-6
-742,755  1,874094E-8  0  -0,0001368902  1,422689E-6
-742,0225  7,872641E-9  0  -8,840935E-5  7,5118E-6
-741,29  3,653319E-10  0  9,646225E-7  1,90893E-5
-740,5575  7,14617E-9  0  7,915348E-5  2,967991E-5
-739,825  1,252749E-8  0  0,0001065955  3,413029E-5
-739,0925  6,696745E-9  0  7,563493E-5  3,124262E-5
-738,36  6,977837E-10  0  1,091531E-5  2,405493E-5
-737,6275  2,565311E-9  0  -4,741127E-5  1,781805E-5
-736,895  4,780358E-9  0  -6,703402E-5  1,693509E-5
-736,1625  2,135259E-9  0  -4,031014E-5  2,259097E-5
-735,43  1,235605E-9  0  1,384993E-5  3,230765E-5
-734,6975  5,65885E-9  0  6,271865E-5  4,153577E-5
-733,965  8,373725E-9  0  7,894369E-5  4,627763E-5
-733,2325  5,09374E-9  0  5,520566E-5  4,523356E-5
-732,5  1,669946E-9  0  6,684539E-6  4,031454E-5
-731,7675  2,775577E-9  0  -3,908069E-5  3,533095E-5
-731,035  4,547263E-9  0  -5,841501E-5  3,368901E-5
-730,3025  3,299844E-9  0  -4,441042E-5  3,643567E-5
-729,57  1,833539E-9  0  -9,589446E-6  4,173226E-5
-728,8375  2,619261E-9  0  2,246096E-5  4,598659E-5
-728,105  3,077339E-9  0  3,110549E-5  4,593242E-5
-727,3725  1,738592E-9  0  1,014533E-5  4,044335E-5
-726,64  1,835303E-9  0  -2,949675E-5  3,106839E-5
-725,9075  4,914456E-9  0  -6,687162E-5  2,103906E-5
-725,175  7,122969E-9  0  -8,333167E-5  1,337167E-5
-724,4425  5,394014E-9  0  -7,286828E-5  9,177573E-6
-723,71  2,053593E-9  0  -4,475131E-5  7,135365E-6
-722,9775  3,218996E-10  0  -1,739739E-5  4,385244E-6
-722,245  5,75267E-11  0  -7,388673E-6  -1,712952E-6
-721,5125  5,476775E-10  0  -2,00972E-5  -1,199083E-5
-720,78  2,84515E-9  0  -4,714176E-5  -2,495605E-5
-720,0475  6,568336E-9  0  -7,178753E-5  -3,761499E-5
-719,315  8,438419E-9  0  -7,885164E-5  -4,712577E-5
-718,5825  6,741796E-9  0  -6,328521E-5  -5,231423E-5
-717,85  4,000523E-9  0  -3,261752E-5  -5,419059E-5
-717,1175  3,051776E-9  0  -2,144853E-6  -5,520123E-5
-716,385  3,525545E-9  0  1,408457E-5  -5,768162E-5
-715,6525  4,021672E-9  0  1,117976E-5  -6,242343E-5
-714,92  4,666503E-9  0  -4,247417E-6  -6,817963E-5
-714,1875  5,576528E-9  0  -1,840691E-5  -7,237205E-5
-713,455  5,611497E-9  0  -1,858731E-5  -7,256727E-5
-712,7225  4,604348E-9  0  -4,734954E-7  -6,785369E-5
-711,99  4,397252E-9  0  2,962126E-5  -5,932818E-5
