-750,08  6,924479E-5
-749,3475  7,18777E-5
-748,615  7,470094E-5
-747,8825  7,773446E-5
-747,15  8,099914E-5
-746,4175  8,451656E-5
-745,685  8,830872E-5
-744,9525  9,239764E-5
-744,22  9,680502E-5
-743,4875  0,0001015518
-742,755  0,000106658
-742,0225  0,0001121421
-741,29  0,0001180209
-740,5575  0,0001243091
-739,825  0,0001310196
-739,0925  0,0001381626
-738,36  0,000145746
-737,6275  0,0001537755
-736,895  0,0001622542
-736,1625  0,0001711828
-735,43  0,00018056
-734,6975  0,0001903826
-733,965  0,0002006453
-733,2325  0,0002113417
-732,5  0,0002224639
-731,7675  0,0002340031
-731,035  0,0002459497
-730,3025  0,0002582937
-729,57  0,0002710246
-728,8375  0,0002841317
-728,105  0,0002976043
-727,3725  0,0003114312
-726,64  0,0003256014
-725,9075  0,0003401034
-725,175  0,0003549254
-724,4425  0,000370055
-723,71  0,0003854793
-722,9775  0,0004011841
-722,245  0,0004171544
-721,5125  0,0004333738
-720,78  0,0004498241
-720,0475  0,0004664854
-719,315  0,0004833356
-718,5825  0,0005003507
-717,85  0,0005175038
-717,1175  0,000534766
-716,385  0,0005521054
-715,6525  0,0005694882
-714,92  0,0005868777
-714,1875  0,0006042354
-713,455  0,0006215209
-712,7225  0,0006386922
-711,99  0,0006557065
-711,2575  0,0006725204
-710,525  0,0006890908
-709,7925  0,0007053751
-709,06  0,0007213325
-708,3275  0,0007369242
-707,595  0,0007521141
-706,8625  0,0007668698
-706,13  0,0007811628
-705,3975  0,0007949693
-704,665  0,0008082705
-703,9325  0,0008210529
-703,2  0,0008333088
-702,4675  0,0008450359
-701,735  0,0008562375
-701,0025  0,0008669223
-700,27  0,0008771042
-699,5375  0,0008868013
-698,805  0,0008960358
-698,0725  0,0009048332
-697,34  0,0009132213
-696,6075  0,0009212294
-695,875  0,0009288875
-695,1425  0,000936225
-694,41  0,0009432701
-693,6775  0,0009500487
-692,945  0,0009565834
-692,2125  0,0009628927
-691,48  0,0009689905
-690,7475  0,0009748853
-690,015  0,0009805796
-689,2825  0,0009860699
-688,55  0,0009913462
-687,8175  0,0009963923
-687,085  0,001001186
-686,3525  0,001005699
-685,62  0,001009897
-684,8875  0,001013743
-684,155  0,001017195
-683,4225  0,001020206
-682,69  0,001022729
-681,9575  0,001024717
-681,225  0,001026119
-680,4925  0,001026887
-679,76  0,001026976
-679,0275  0,001026341
-678,295  0,001024942
-677,5625  0,001022745
-676,83  0,001019718
-676,0975  0,001015836
-675,365  0,001011082
-674,6325  0,001005443
-673,9  0,0009989134
-673,1675  0,0009914946
-672,435  0,0009831943
-671,7025  0,000974027
-670,97  0,0009640129
-670,2375  0,000953178
-669,505  0,0009415534
-668,7725  0,0009291748
-668,04  0,0009160817
-667,3075  0,0009023169
-666,575  0,0008879257
-665,8425  0,0008729555
-665,11  0,0008574546
-664,3775  0,0008414719
-663,645  0,0008250567
-662,9125  0,0008082573
-662,18  0,0007911212
-661,4475  0,0007736948
-660,715  0,0007560224
-659,9825  0,0007381466
-659,25  0,0007201081
-658,5175  0,0007019453
-657,785  0,0006836942
-657,0525  0,0006653891
-656,32  0,0006470618
-655,5875  0,0006287425
-654,855  0,0006104592
-654,1225  0,0005922385
-653,39  0,0005741056
-652,6575  0,000556084
-651,925  0,0005381967
-651,1925  0,0005204653
-650,46  0,0005029107
-649,7275  0,0004855534
-648,995  0,0004684132
-648,2625  0,0004515094
-647,53  0,0004348608
-646,7975  0,0004184861
-646,065  0,0004024032
-645,3325  0,0003866296
-644,6  0,0003711823
-643,8675  0,0003560775
-643,135  0,0003413305
-642,4025  0,0003269556
-641,67  0,000312966
-640,9375  0,0002993736
-640,205  0,0002861887
-639,4725  0,0002734202
-638,74  0,0002610749
-638,0075  0,0002491582
