# 2024-10-25T17:49:23+02:00
# Header Rows: 14
# File Format: 2
# Device: waveScan USB
# Serial: S10794
# Firmware: 4.3.4
# Software: 2.0.0.60
# SVN Revision: 541
# SpectrumCenter of Gravity: 1036.5 nm
# SpectrumFWHM: 23.8 nm
# SpectrumPeak: 1024.1 nm
# ==========
# Wavelength	Intensity
# ==========
936.004	54
936.175	60
936.346	63
936.517	66
936.688	60
936.859	60
937.030	64
937.201	74
937.372	78
937.543	75
937.714	72
937.885	81
938.056	81
938.227	84
938.398	89
938.569	101
938.740	96
938.911	108
939.082	112
939.253	108
939.424	116
939.595	119
939.766	129
939.936	128
940.107	137
940.278	143
940.449	153
940.620	156
940.791	153
940.962	163
941.133	173
941.304	183
941.475	198
941.646	191
941.817	208
941.988	189
942.159	239
942.330	214
942.501	227
942.672	237
942.843	250
943.014	258
943.185	261
943.356	248
943.527	273
943.698	301
943.869	289
944.040	310
944.211	305
944.382	324
944.553	402
944.724	345
944.895	374
945.066	374
945.237	379
945.408	394
945.579	394
945.750	430
945.921	436
946.092	427
946.263	482
946.434	488
946.605	499
946.776	456
946.947	563
947.118	568
947.289	591
947.460	606
947.631	565
947.802	610
947.973	614
948.144	658
948.315	660
948.486	657
948.657	657
948.828	647
948.999	722
949.170	745
949.340	758
949.511	812
949.682	870
949.853	829
950.024	781
950.195	822
950.366	877
950.537	853
950.708	868
950.879	921
951.050	970
951.221	982
951.392	1051
951.563	1004
951.734	1068
951.905	1141
952.076	1109
952.247	1156
952.418	1151
952.589	1256
952.760	1216
952.931	1311
953.102	1332
953.273	1259
953.444	1292
953.615	1404
953.786	1403
953.957	1400
954.128	1451
954.299	1490
954.470	1710
954.641	1606
954.812	1491
954.983	1739
955.154	1689
955.325	1661
955.496	1834
955.667	1778
955.838	2033
956.009	2075
956.180	1889
956.351	2081
956.522	1956
956.693	2134
956.864	2251
957.035	2114
957.206	2152
957.377	2167
957.548	2234
957.719	2286
957.890	2323
958.061	2340
958.232	2362
958.403	2483
958.574	2633
958.745	2721
958.915	2653
959.086	2706
959.257	2589
959.428	2740
959.599	2677
959.770	2844
959.941	3155
960.112	2870
960.283	3231
960.454	3084
960.625	3339
960.796	3330
960.967	3128
961.138	3428
961.309	3137
961.480	3332
961.651	3221
961.822	3290
961.993	3233
962.164	3269
962.335	3334
962.506	3283
962.677	3401
962.848	3326
963.019	3421
963.190	3534
963.361	3401
963.532	3529
963.703	3576
963.874	3575
964.045	3444
964.216	3633
964.387	3550
964.558	3433
964.729	3402
964.900	3702
965.071	3997
965.242	3706
965.413	3741
965.584	3816
965.755	3748
965.926	3987
966.097	3856
966.268	3787
966.439	3819
966.610	3781
966.781	3883
966.952	3879
967.123	3864
967.294	3687
967.465	3864
967.636	3801
967.807	3929
967.978	3905
968.149	3891
968.319	3928
968.490	3968
968.661	4064
968.832	4099
969.003	4109
969.174	3847
969.345	3985
969.516	3830
969.687	3972
969.858	3930
970.029	3781
970.200	3871
970.371	3715
970.542	3682
970.713	3626
970.884	3701
971.055	3539
971.226	3429
971.397	3549
971.568	3378
971.739	3567
971.910	3400
972.081	3413
972.252	3515
972.423	3634
972.594	3591
972.765	3496
972.936	3434
973.107	3275
973.278	3422
973.449	3251
973.620	3323
973.791	3200
973.962	3215
974.133	3022
974.304	2945
974.475	3015
974.646	3074
974.817	3231
974.988	2906
975.159	2810
975.330	2758
975.501	2791
975.672	3051
975.843	2701
976.014	2582
976.185	2624
976.356	2615
976.527	2912
976.698	2732
976.869	2682
977.040	2702
977.211	2318
977.382	2620
977.553	2395
977.723	2509
977.894	2393
978.065	2222
978.236	2338
978.407	2195
978.578	2264
978.749	2129
978.920	2156
979.091	1934
979.262	2012
979.433	2049
979.604	1887
979.775	1897
979.946	1865
980.117	1769
980.288	1986
980.459	1779
980.630	1659
980.801	1688
980.972	1703
981.143	1673
981.314	1592
981.485	1503
981.656	1557
981.827	1440
981.998	1495
982.169	1431
982.340	1400
982.511	1374
982.682	1339
982.853	1449
983.024	1374
983.195	1250
983.366	1307
983.537	1123
983.708	1137
983.879	1144
984.050	1138
984.221	1076
984.392	1071
984.563	1065
984.734	1019
984.905	998
985.076	1016
985.247	1065
985.418	986
985.589	999
985.760	1008
985.931	1020
986.102	1008
986.273	974
986.444	966
986.615	980
986.786	1023
986.957	967
987.128	990
987.298	990
987.469	952
987.640	958
987.811	975
987.982	1009
988.153	1027
988.324	991
988.495	992
988.666	1006
988.837	1007
989.008	1051
989.179	1047
989.350	1080
989.521	1142
989.692	1092
989.863	1175
990.034	1162
990.205	1353
990.376	1245
990.547	1201
990.718	1292
990.889	1280
991.060	1458
991.231	1271
991.402	1381
991.573	1509
991.744	1527
991.915	1537
992.086	1453
992.257	1549
992.428	1578
992.599	1661
992.770	1635
992.941	1591
993.112	1669
993.283	1730
993.454	1779
993.625	1757
993.796	1869
993.967	1757
994.138	1769
994.309	1800
994.480	1808
994.651	1978
994.822	1909
994.993	2002
995.164	2027
995.335	1969
995.506	2125
995.677	2093
995.848	2063
996.019	2084
996.190	2144
996.361	2079
996.532	2135
996.702	2148
996.873	2180
997.044	2263
997.215	2286
997.386	2400
997.557	2462
997.728	2407
997.899	2421
998.070	2422
998.241	2616
998.412	2554
