1981,511  3,097933E-11  0  -1,033793E-5  3,043887E-6
1974,235  3,254339E-11  0  1,058479E-5  -3,011538E-6
1967,011  3,164767E-11  0  -1,034192E-5  3,155661E-6
1959,84  3,299255E-11  0  1,054189E-5  -3,140597E-6
1952,722  3,234275E-11  0  -1,035099E-5  3,257115E-6
1945,655  3,340059E-11  0  1,048866E-5  -3,272995E-6
1938,638  3,314275E-11  0  -1,0374E-5  3,363066E-6
1931,673  3,376713E-11  0  1,042789E-5  -3,400088E-6
1924,757  3,389512E-11  0  -1,038768E-5  3,462698E-6
1917,89  3,452394E-11  0  1,042114E-5  -3,556502E-6
1911,072  3,441828E-11  0  -1,036416E-5  3,5502E-6
1904,303  3,551697E-11  0  1,045337E-5  -3,701649E-6
1897,581  3,485305E-11  0  -1,031985E-5  3,650563E-6
1890,907  3,642238E-11  0  1,046981E-5  -3,837343E-6
1884,279  3,529192E-11  0  -1,027596E-5  3,747574E-6
1877,698  3,741814E-11  0  1,049016E-5  -3,989931E-6
1871,162  3,564964E-11  0  -1,02162E-5  3,847725E-6
1864,672  3,845784E-11  0  1,052264E-5  -4,116692E-6
1858,227  3,62137E-11  0  -1,017371E-5  3,986093E-6
1851,826  3,934634E-11  0  1,053282E-5  -4,229524E-6
1845,469  3,723784E-11  0  -1,020703E-5  4,111727E-6
1839,156  3,984422E-11  0  1,048438E-5  -4,331053E-6
1832,885  3,833232E-11  0  -1,024154E-5  4,250356E-6
1826,658  4,013936E-11  0  1,040517E-5  -4,428304E-6
1820,472  3,981464E-11  0  -1,032213E-5  4,408972E-6
1814,328  4,012165E-11  0  1,026295E-5  -4,557767E-6
1808,226  4,153978E-11  0  -1,044258E-5  4,542495E-6
1802,164  4,040835E-11  0  1,016358E-5  -4,691151E-6
1796,143  4,303804E-11  0  -1,051506E-5  4,690744E-6
1790,162  4,096523E-11  0  1,013317E-5  -4,760746E-6
1784,221  4,421464E-11  0  -1,051492E-5  4,88143E-6
1778,319  4,168551E-11  0  1,015151E-5  -4,776436E-6
1772,455  4,475049E-11  0  -1,038263E-5  5,14137E-6
1766,631  4,331139E-11  0  1,028895E-5  -4,816749E-6
1760,845  4,556478E-11  0  -1,027037E-5  5,423084E-6
1755,096  4,45583E-11  0  1,040762E-5  -4,767842E-6
1749,385  4,669653E-11  0  -1,01803E-5  5,7279E-6
1743,711  4,560133E-11  0  1,045675E-5  -4,800042E-6
1738,073  4,771395E-11  0  -1,017093E-5  5,845948E-6
1732,472  4,696537E-11  0  1,043904E-5  -5,061477E-6
1726,907  4,770776E-11  0  -1,011949E-5  5,78262E-6
1721,377  4,987465E-11  0  1,0529E-5  -5,499543E-6
1715,883  4,695285E-11  0  -1,001617E-5  5,627439E-6
1710,424  5,342241E-11  0  1,067243E-5  -5,943393E-6
1704,999  4,660737E-11  0  -9,956391E-6  5,498549E-6
1699,609  5,556293E-11  0  1,07072E-5  -6,213134E-6
1694,253  4,752547E-11  0  -9,981317E-6  5,53423E-6
1688,93  5,573839E-11  0  1,050417E-5  -6,439555E-6
1683,641  5,069851E-11  0  -1,026363E-5  5,645657E-6
1678,384  5,543157E-11  0  1,022117E-5  -6,679679E-6
1673,161  5,327849E-11  0  -1,046786E-5  5,729977E-6
1667,97  5,700981E-11  0  1,016107E-5  -6,94196E-6
1662,81  5,492216E-11  0  -1,058179E-5  5,746067E-6
1657,683  5,868843E-11  0  1,012709E-5  -7,170938E-6
1652,587  5,550921E-11  0  -1,056751E-5  5,750887E-6
1647,523  6,109086E-11  0  1,013712E-5  -7,454092E-6
1642,489  5,626849E-11  0  -1,058416E-5  5,736973E-6
1637,487  6,298485E-11  0  9,961724E-6  -7,874934E-6
1632,514  5,7682E-11  0  -1,069906E-5  5,684111E-6
1627,572  6,756626E-11  0  1,022687E-5  -8,142619E-6
1622,659  5,666514E-11  0  -1,020485E-5  6,190055E-6
1617,776  6,710307E-11  0  1,071595E-5  -7,269884E-6
1612,922  6,408608E-11  0  -9,986877E-6  7,71016E-6
1608,098  6,450251E-11  0  1,087018E-5  -6,410981E-6
