-686,3525  2,429028E-8  0  -0,0001558327  2,540867E-6
-685,62  2,342259E-8  0  -0,000153034  1,787183E-6
-684,8875  2,258531E-8  0  -0,000150279  1,245746E-6
-684,155  2,245025E-8  0  -0,000149834  -1,621962E-7
-683,4225  2,327911E-8  0  -0,0001525477  -2,884189E-6
-682,69  2,48156E-8  0  -0,0001573952  -6,506767E-6
-681,9575  2,638137E-8  0  -0,0001621132  -1,00342E-5
-681,225  2,722751E-8  0  -0,0001645331  -1,250516E-5
-680,4925  2,702405E-8  0  -0,0001638278  -1,358301E-5
-679,76  2,609541E-8  0  -0,0001609523  -1,377579E-5
-679,0275  2,517787E-8  0  -0,0001580421  -1,416217E-5
-678,295  2,49427E-8  0  -0,0001571415  -1,578804E-5
-677,5625  2,564934E-8  0  -0,0001590126  -1,908779E-5
-676,83  2,703577E-8  0  -0,0001627137  -2,366498E-5
-676,0975  2,842966E-8  0  -0,0001661756  -2,855426E-5
-675,365  2,910637E-8  0  -0,0001674222  -3,280515E-5
-674,6325  2,876091E-8  0  -0,0001657159  -3,604365E-5
-673,9  2,77296E-8  0  -0,0001619662  -3,868526E-5
-673,1675  2,675809E-8  0  -0,0001581799  -4,167988E-5
-672,435  2,653746E-8  0  -0,0001562904  -4,594301E-5
-671,7025  2,735066E-8  0  -0,000157056  -5,18081E-5
-670,97  2,895158E-8  0  -0,0001596619  -5,881892E-5
-670,2375  3,067611E-8  0  -0,0001622433  -6,597899E-5
-669,505  3,179936E-8  0  -0,0001630057  -7,230829E-5
-668,7725  3,199942E-8  0  -0,0001612813  -7,738059E-5
-668,04  3,158235E-8  0  -0,0001579091  -8,152952E-5
-667,3075  3,127042E-8  0  -0,0001547308  -8,560837E-5
-666,575  3,174638E-8  0  -0,0001535102  -9,044894E-5
-665,8425  3,327895E-8  0  -0,0001549123  -9,633858E-5
-665,11  3,557837E-8  0  -0,000158134  -0,0001028203
-664,3775  3,791092E-8  0  -0,0001613855  -0,0001089295
-663,645  3,948002E-8  0  -0,0001629313  -0,0001137251
-662,9125  3,991132E-8  0  -0,0001620743  -0,0001168043
-662,18  3,948793E-8  0  -0,0001595161  -0,0001185012
-661,4475  3,893459E-8  0  -0,0001568963  -0,0001196584
-660,715  3,89389E-8  0  -0,0001557932  -0,000121109
-659,9825  3,975095E-8  0  -0,0001567773  -0,000123174
-659,25  4,104447E-8  0  -0,0001590663  -0,0001254687
-658,5175  4,207335E-8  0  -0,0001609723  -0,000127127
-657,785  4,20868E-8  0  -0,0001608699  -0,0001273093
-657,0525  4,079975E-8  0  -0,0001581148  -0,0001256959
-656,32  3,857565E-8  0  -0,0001533812  -0,0001226779
-655,5875  3,616723E-8  0  -0,0001482344  -0,0001191377
-654,855  3,423778E-8  0  -0,0001441985  -0,0001159508
-654,1225  3,300954E-8  0  -0,0001418698  -0,0001135011
-653,39  3,219624E-8  0  -0,0001405904  -0,0001114925
-652,6575  3,1199E-8  0  -0,0001388613  -0,0001091629
-651,925  2,94786E-8  0  -0,0001352429  -0,0001057731
-651,1925  2,691339E-8  0  -0,0001292126  -0,0001010816
-650,46  2,388335E-8  0  -0,0001214799  -9,553005E-5
-649,7275  2,10075E-8  0  -0,0001135857  -9,003211E-5
-648,995  1,876406E-8  0  -0,0001070287  -8,549225E-5
-648,2625  1,727153E-8  0  -0,0001024319  -8,23361E-5
-647,53  1,629947E-8  0  -9,923407E-5  -8,032476E-5
-646,7975  1,543279E-8  0  -9,607316E-5  -7,875749E-5
-646,065  1,431573E-8  0  -9,162983E-5  -7,693963E-5
-645,3325  1,286948E-8  0  -8,543127E-5  -7,463896E-5
-644,6  1,132917E-8  0  -7,814897E-5  -7,226275E-5
-643,8675  1,006471E-8  0  -7,122441E-5  -7,065259E-5
-643,135  9,349573E-9  0  -6,605031E-5  -7,061819E-5
-642,4025  9,246597E-9  0  -6,318959E-5  -7,248222E-5
-641,67  9,615488E-9  0  -6,208566E-5  -7,590032E-5
-640,9375  1,018231E-8  0  -6,142486E-5  -8,005809E-5
-640,205  1,066898E-8  0  -5,993085E-5  -8,412652E-5
-639,4725  1,095576E-8  0  -5,712265E-5  -8,770837E-5
-638,74  1,115633E-8  0  -5,359609E-5  -9,101532E-5
-638,0075  1,153108E-8  0  -5,067171E-5  -9,467551E-5
