512  512
0.0  43109,8
397,1787
397,5296
397,881
398,2331
398,5858
398,9391
399,2931
399,6476
400,0028
400,3587
400,7151
401,0723
401,43
401,7884
402,1474
402,5071
402,8674
403,2283
403,5899
403,9522
404,3151
404,6787
405,0429
405,4077
405,7733
406,1394
406,5063
406,8738
407,242
407,6108
407,9803
408,3505
408,7214
409,0929
409,4651
409,838
410,2115
410,5858
410,9607
411,3363
411,7126
412,0896
412,4673
412,8456
413,2247
413,6045
413,9849
414,3661
414,748
415,1305
415,5138
415,8978
416,2825
416,6679
417,054
417,4408
417,8284
418,2167
418,6057
418,9954
419,3859
419,777
420,1689
420,5616
420,9549
421,3491
421,7439
422,1395
422,5358
422,9329
423,3307
423,7293
424,1286
424,5287
424,9296
425,3311
425,7335
426,1366
426,5405
426,9451
427,3505
427,7567
428,1637
428,5714
428,9799
429,3892
429,7993
430,2101
430,6218
431,0342
431,4474
431,8614
432,2762
432,6919
433,1083
433,5255
433,9435
434,3623
434,7819
435,2024
435,6236
436,0457
436,4686
436,8923
437,3168
437,7422
438,1684
438,5954
439,0232
439,4519
439,8814
440,3118
440,743
441,1751
441,608
442,0417
442,4763
442,9118
443,3481
443,7853
444,2233
444,6622
445,102
445,5427
445,9842
446,4266
446,8698
447,314
447,759
448,205
448,6518
449,0995
449,5481
449,9976
450,448
450,8993
451,3515
451,8046
452,2586
452,7136
453,1694
453,6262
454,0839
454,5425
455,002
455,4625
455,9239
456,3863
456,8496
457,3138
457,779
458,2451
458,7121
459,1802
459,6491
460,1191
460,59
461,0618
461,5347
462,0085
462,4832
462,959
463,4357
463,9134
464,3921
464,8718
465,3525
465,8342
466,3168
466,8005
467,2852
467,7709
468,2576
468,7453
469,234
469,7238
470,2145
470,7063
471,1992
471,693
472,1879
472,6839
473,1809
473,6789
474,178
474,6781
475,1793
475,6815
476,1848
476,6892
477,1946
477,7012
478,2087
478,7174
479,2272
479,738
480,2499
480,763
481,2771
481,7923
482,3086
482,8261
483,3446
483,8643
484,3851
484,907
485,43
485,9542
486,4795
487,0059
487,5335
488,0622
488,592
489,123
489,6552
490,1885
490,723
491,2587
491,7955
492,3335
492,8727
493,4131
493,9546
494,4974
495,0413
495,5864
496,1328
496,6803
497,2291
497,779
498,3302
498,8826
499,4362
499,9911
500,5472
501,1045
501,6631
502,2229
502,784
503,3463
503,9099
504,4748
505,0409
505,6083
506,1769
506,7469
507,3181
507,8906
508,4644
509,0396
509,616
510,1937
510,7727
511,3531
511,9348
512,5177
513,1021
513,6877
514,2747
514,8631
515,4528
516,0438
516,6362
517,2299
517,8251
518,4216
519,0194
519,6187
520,2193
520,8214
521,4248
522,0296
522,6358
523,2435
523,8525
524,463
525,0749
525,6882
526,303
526,9192
527,5368
528,1559
528,7765
529,3985
530,0219
530,6469
531,2733
531,9012
532,5306
533,1615
533,7938
534,4277
535,0631
535,7
536,3384
536,9783
537,6198
538,2628
538,9073
539,5534
540,2011
540,8503
541,501
542,1533
542,8072
543,4627
544,1198
544,7784
545,4387
546,1005
546,764
547,429
548,0957
548,7641
549,434
550,1056
550,7788
551,4537
552,1302
552,8084
553,4883
554,1698
554,8531
555,538
556,2246
556,9129
557,6029
558,2946
558,988
559,6832
560,3801
561,0787
561,7791
562,4812
563,1851
563,8908
564,5982
565,3074
566,0184
566,7311
567,4457
568,1621
568,8802
569,6002
570,3221
571,0457
571,7712
572,4986
573,2277
573,9588
574,6917
575,4265
576,1632
576,9018
577,6422
578,3846
579,1289
579,875
580,6232
581,3732
582,1252
582,8791
583,635
584,3929
585,1527
585,9145
586,6783
587,4441
588,2119
588,9817
589,7535
590,5274
591,3032
592,0811
592,8611
593,6431
594,4272
595,2134
596,0016
596,792
597,5844
598,3789
599,1756
599,9744
600,7753
601,5784
602,3836
603,1909
604,0005
604,8122
605,626
606,4421
607,2604
608,0809
608,9036
609,7286
610,5558
611,3852
612,2169
613,0508
613,8871
614,7256
615,5664
616,4095
617,2549
618,1027
618,9528
619,8052
620,66
621,5171
622,3766
623,2385
624,1028
624,9694
625,8385
626,71
627,584
628,4603
629,3392
630,2204
631,1042
631,9904
632,8792
633,7704
634,6642
635,5605
636,4593
637,3606
638,2645
639,171
640,0801
640,9917
641,906
642,8228
643,7423
644,6644
645,5892
646,5166
647,4467
648,3795
649,3149
650,2531
651,194
652,1376
653,0839
654,033
654,9849
655,9395
656,8969
657,8572
658,8202
659,786
660,7547
661,7263
662,7007
663,6779
664,6581
665,6412
666,6271
667,616
668,6079
669,6027
670,6004
671,6011
672,6049
673,6116
674,6213
675,6341
676,6499
677,6688
678,6908
679,7158
680,7439
681,7752
682,8096
683,8471
684,8878
685,9316
686,9787
688,0289
689,0824
690,1391
691,199
692,2622
693,3287
694,3985
695,4715
696,5479
697,6277
698,7108
699,7972
700,887
701,9803
703,0769
704,177
705,2805
706,3875
707,498
708,612
709,7295
710,8505
711,9751
713,1032
714,2349
715,3702
716,5091
717,6517
718,7979
719,9478
721,1013
722,2586
723,4195
-750,08
-747,15
-744,22
-741,29
-738,36
-735,43
-732,5
-729,57
-726,64
-723,71
-720,78
-717,85
-714,92
-711,99
-709,06
-706,13
-703,2
-700,27
-697,34
-694,41
-691,48
-688,55
-685,62
-682,69
-679,76
-676,83
-673,9
-670,97
-668,04
-665,11
-662,18
-659,25
-656,32
-653,39
-650,46
-647,53
-644,6
-641,67
-638,74
-635,81
-632,88
-629,95
-627,02
-624,09
-621,16
-618,23
-615,3
-612,37
-609,44
-606,51
-603,58
-600,65
-597,72
-594,79
-591,86
-588,93
-586
